district_id,district_name,population,area_km2,population_density
1,Várkerület,25196,3.41,7388.8
2,II. kerület,89903,36.34,2473.9
3,Óbuda-Békásmegyer,130415,39.7,3285
4,Újpest,101558,18.82,5396.2
5,Belváros-Lipótváros,26284,2.59,10148.2
6,Terézváros,38504,2.38,16178.1
7,Erzsébetváros,53381,2.09,25541.1
8,Józsefváros,76811,6.85,11213.2
9,Ferencváros,59056,12.53,4713.1
10,Kőbánya,78414,32.49,2413.4
11,Újbuda,151812,33.49,4533
12,Hegyvidék,58171,26.67,2181.1
13,Angyalföld-Újlipótváros-Vizafogó,120256,13.43,8954.2
14,Zugló,124841,18.13,6885.8
15,Rákospalota-Pestújhely-Újpalota,80573,26.94,2990.8
16,XVI. kerület,73486,33.51,2192.9
17,Rákosmente,87793,54.82,1601.4
18,Pestszentlőrinc-Pestszentimre,101738,38.6,2635.6
19,Kispest,60731,9.38,6474.5
20,Pesterzsébet,65321,12.19,5385.5
21,Csepel,76911,25.75,2985.8
22,Budafok-Tétény,54611,34.25,1594.4
23,Soroksár,23641,40.77,579.8
