pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM4KF1-LM4KFA,1,1,LM4KF1,LM4KFA,90
LM4KF1-LM4KFB,2,1,LM4KF1,LM4KFB,180
LM3UK2-F00913,5,1,LM3UK2,F00913,90
LM4KF1-LM4KFC,2,1,LM4KF1,LM4KFC,210
LM4KF1-LM4KFD,2,1,LM4KF1,LM4KFD,180
LM1OPV-F01079,2,1,LM1OPV,F01079,30
LM1DF1-F00962,2,1,LM1DF1,F00962,30
056233-F01336-WC,5,1,056233,F01336,105
LM4KF2-LM4KFA-WC,5,1,LM4KF2,LM4KFA,120
LM4KP3-LMXKPN,2,1,LM4KP3,LMXKPN,120
LM4KP3-LMXKPM,2,1,LM4KP3,LMXKPM,120
LM4KP3-LMXKPL,2,1,LM4KP3,LMXKPL,120
LM4KP3-LMXKPK,2,1,LM4KP3,LMXKPK,60
056227-F01290,2,1,056227,F01290,90
LMXKVE-LM3KV1,2,1,LMXKVE,LM3KV1,30
LM2PU2-F01743-WC,2,1,LM2PU2,F01743,180
LM3LE1-F02613-WC,5,1,LM3LE1,F02613,60
LM2KL1-F00959,2,1,LM2KL1,F00959,30
LM4KP3-056234-WC,5,1,LM4KP3,056234,60
LM2KL1-F00958,2,1,LM2KL1,F00958,30
LM3HU2-LM3HU1,5,1,LM3HU2,LM3HU1,10
LM3NL2-F01282,5,1,LM3NL2,F01282,120
LM3NY3-LM3NY1,5,1,LM3NY3,LM3NY1,60
LM3LEF-LM3LE1,2,1,LM3LEF,LM3LE1,30
LM3DGE-LM3DG1,2,1,LM3DGE,LM3DG1,30
LM1VUV-F01092,2,1,LM1VUV,F01092,30
LM3FT2-LM3FT1,5,1,LM3FT2,LM3FT1,60
LM3LEB-LM3LE2,2,1,LM3LEB,LM3LE2,30
LM4KF4-LM4KFA-WC,5,1,LM4KF4,LM4KFA,120
LM3DGA-LM3DG1,2,1,LM3DGA,LM3DG1,30
LM4KP3-LMXKPF-WC,5,1,LM4KP3,LMXKPF,90
LM4KV1-056227,2,1,LM4KV1,056227,90
LM3DF1-F00955,2,1,LM3DF1,F00955,120
LM3HUA1-LM3HU1,5,1,LM3HUA1,LM3HU1,30
LMXKV1-LM3KV1,5,1,LMXKV1,LM3KV1,60
LMXKVA-LM3KV1,2,1,LMXKVA,LM3KV1,90
LM3NY1-F00936,2,1,LM3NY1,F00936,60
LM3DF1-F00954,2,1,LM3DF1,F00954,120
LM3NY1-F00937,2,1,LM3NY1,F00937,60
LM3FTB-LM3FT1,2,1,LM3FTB,LM3FT1,45
