stop_id,poiWorth,centralityWorth,transportWorth
F04181,0.1616,0.0000,0.0000
F04526,0.1457,0.0000,0.0000
007884,0.2522,0.0030,0.1580
F01012,0.4675,0.7767,0.1580
F01005,0.5234,0.4789,0.1580
F00921,0.3456,0.4774,0.1580
008590,0.2105,0.5266,0.1580
F02148,0.2229,0.4007,0.1580
008593,0.2812,0.2051,0.1580
F01997,0.2648,0.0660,0.1580
F02238,0.2681,0.0633,0.1580
F02004,0.2918,0.0605,0.1580
F02010,0.2255,0.0577,0.1580
F02240,0.1869,0.0549,0.1580
F02013,0.2000,0.0521,0.1580
F02016,0.3435,0.0494,0.1580
F02020,0.6228,0.0466,0.1580
F02025,0.5465,0.0438,0.1580
F02031,0.4302,0.0410,0.1580
008864,0.1156,0.0000,0.1580
008802,0.1032,0.0000,0.1580
F02029,0.4552,0.0480,0.1580
F02024,0.5613,0.0513,0.1580
F02019,0.6084,0.0546,0.1580
F02017,0.3110,0.0580,0.1580
F02014,0.2074,0.0614,0.1580
F02241,0.1884,0.0647,0.1580
F02009,0.2350,0.0680,0.1580
F02003,0.2825,0.0714,0.1580
F02239,0.2672,0.0748,0.1580
F01999,0.2692,0.0781,0.1580
F02194,0.2815,0.1048,0.1580
F02149,0.2275,0.6018,0.1580
008591,0.2095,0.5664,0.1580
F00922,0.3658,0.4138,0.1580
F01006,0.5256,0.4157,0.1580
F01013,0.4813,0.6795,0.1580
F02040,0.2741,0.0060,0.1580
F02046,0.4005,0.0114,0.1580
F02184,0.3586,0.3558,0.1580
F02203,0.2717,0.1271,0.1580
F02202,0.2739,0.1370,0.1580
F02181,0.3748,0.5377,0.1580
F02047,0.4085,0.0118,0.1580
F02042,0.2733,0.0075,0.1580
F02887,0.1241,0.0000,1.0000
F02696,0.1148,0.0000,1.0000
F01102,0.2577,0.0000,1.0000
F01100,0.3200,0.0000,1.0000
F01095,0.2917,0.0000,1.0000
F01092,0.2619,0.0000,1.0000
F01085,0.2359,0.0000,1.0000
F01079,0.2577,0.0000,1.0000
F00996,0.2193,0.0000,1.0000
F00962,0.2014,0.0000,1.0000
F00964,0.1337,0.0000,1.0000
F00965,0.1432,0.0000,1.0000
F00963,0.2135,0.0000,1.0000
F00997,0.2254,0.0000,1.0000
F01080,0.2565,0.0000,1.0000
F01086,0.2405,0.0000,1.0000
F01093,0.2592,0.0000,1.0000
F01096,0.3003,0.0000,1.0000
F01101,0.3131,0.0000,1.0000
F01103,0.2388,0.0000,1.0000
F02697,0.1140,0.0000,1.0000
F02888,0.1363,0.0000,1.0000
F03289,0.0146,0.0042,0.0246
F03450,0.0345,0.1039,0.0246
F03452,0.0507,0.0775,0.0246
F03454,0.1443,0.1549,0.0246
F03544,0.2126,0.3561,0.0246
F03546,0.2559,0.3558,0.0246
011773,0.2996,0.0000,0.0246
011715,0.3126,0.0043,0.0246
116272,0.3473,0.0074,0.0246
F01719,0.2454,0.0106,0.0246
F01848,0.1925,0.0097,0.0246
F01846,0.1813,0.3851,0.0246
F01715,0.1413,0.3324,0.0246
F01605,0.0382,0.3760,0.0246
F01603,0.0332,0.0193,0.0246
F01813,0.0251,0.0178,0.0246
F01600,0.0231,0.0181,0.0246
F01811,0.0269,0.0226,0.0246
F01595,0.0628,0.1470,0.0246
F01591,0.1710,0.1479,0.0246
F01588,0.1788,0.1542,0.0246
F01842,0.1970,0.1575,0.0246
F01700,0.2034,0.2110,0.0246
F01697,0.1329,0.1770,0.0246
008863,0.1079,0.2108,0.0246
F01694,0.0863,0.2953,0.0246
F01583,0.0947,0.3572,0.0246
043176,0.1534,0.0404,0.0246
F03948,0.1897,0.2469,0.0246
F03950,0.2173,0.2348,0.0246
F03942,0.1906,0.1636,0.0246
F03941,0.1391,0.1632,0.0246
F01584,0.0891,0.2702,0.0246
F01693,0.0907,0.1363,0.0246
F01698,0.1495,0.1106,0.0246
F01841,0.2187,0.1137,0.0246
F01714,0.1799,0.0902,0.0246
F01589,0.1835,0.0853,0.0246
F01592,0.1574,0.0824,0.0246
008156,0.0600,0.1248,0.0246
F01810,0.0286,0.0107,0.0246
F01601,0.0227,0.0115,0.0246
F01812,0.0249,0.0131,0.0246
F01604,0.0399,0.0148,0.0246
F01606,0.0377,0.2856,0.0246
F01716,0.1536,0.2484,0.0246
F01847,0.1905,0.2944,0.0246
F01849,0.1914,0.0054,0.0246
F01722,0.2841,0.2799,0.0246
116271,0.3600,0.2773,0.0246
F03549,0.3211,0.2749,0.0246
009543,0.2935,0.2872,0.0246
F03547,0.2655,0.2844,0.0246
F03545,0.2293,0.2535,0.0246
F03455,0.1344,0.0647,0.0246
F03453,0.0546,0.0608,0.0246
F03449,0.0316,0.1029,0.0246
008181,0.0150,0.0016,0.0246
009358,0.0985,0.0001,0.0246
009338,0.1654,0.0022,0.0246
008962,0.2372,0.0048,0.0246
008961,0.2293,0.0074,0.0246
F04569,0.2684,0.0376,0.0246
F04533,0.3077,0.0424,0.0246
008954,0.2474,0.0057,0.0246
008956,0.1570,0.0083,0.0246
008958,0.1373,0.0130,0.0246
F04077,0.1824,0.0230,0.0246
F04162,0.1977,0.0198,0.0246
F04157,0.2061,0.0216,0.0246
F04058,0.2193,0.0235,0.0246
F04056,0.2320,0.0256,0.0246
F04054,0.3573,0.0279,0.0246
F04119,0.3655,0.0440,0.0246
F04122,0.3990,0.1974,0.0246
F04129,0.5220,0.1797,0.0246
F04134,0.5622,0.0000,0.0246
F04137,0.6345,0.1204,0.0246
F04140,0.6478,0.1136,0.0246
F04174,0.4807,0.0203,0.0246
F01450,0.2386,0.0203,0.0246
F01451,0.1572,0.1275,0.0246
F01455,0.0982,0.0000,0.0246
F04015,0.0653,0.0027,0.0246
F01456,0.1054,0.0479,0.0246
F01370,0.1854,0.0788,0.0246
F01449,0.3062,0.0176,0.0246
F04173,0.4546,0.0167,0.0246
F04139,0.6243,0.0896,0.0246
F04136,0.6509,0.1124,0.0246
F04133,0.5712,0.0000,0.0246
F04127,0.4377,0.1964,0.0246
F04123,0.3815,0.2098,0.0246
009586,0.3306,0.0144,0.0246
F04118,0.3487,0.0615,0.0246
F04055,0.3590,0.0512,0.0246
F04057,0.2268,0.0482,0.0246
F04059,0.1994,0.0455,0.0246
F04158,0.1990,0.0437,0.0246
F04161,0.1947,0.0215,0.0246
008957,0.1757,0.0272,0.0246
009243,0.1352,0.0114,0.0246
008955,0.1667,0.0067,0.0246
008953,0.2655,0.0084,0.0246
008959,0.2634,0.0494,0.0246
F04532,0.3042,0.0413,0.0246
F04568,0.2708,0.0382,0.0246
F04542,0.2221,0.0354,0.0246
008960,0.2546,0.0101,0.0246
008963,0.3105,0.0068,0.0246
009339,0.2496,0.0036,0.0246
009337,0.1589,0.0004,0.0246
009220,0.2783,0.0233,0.1580
F02153,0.2534,0.0205,0.1580
F02225,0.1890,0.0185,0.1580
F01374,0.2585,0.0146,0.1580
F01380,0.4474,0.0110,0.1580
F01191,0.5846,0.0098,0.1580
F01199,0.5961,0.0086,0.1580
F01200,0.5208,0.0078,0.1580
F01168,0.4665,0.0076,0.1580
F01111,0.3877,0.0076,0.1580
F01035,0.2931,0.0083,0.1580
F01082,0.2432,0.0097,0.1580
F00933,0.2413,0.0134,0.1580
F00925,0.1926,0.0150,0.1580
F00141,0.0671,0.0178,0.1580
F00192,0.1580,0.1162,0.1580
F00198,0.3722,0.0367,0.1580
F00307,0.3637,0.1497,0.1580
F02476,0.3687,0.0000,0.1580
F02477,0.3593,0.0000,0.1580
F00308,0.3628,0.1507,0.1580
F00199,0.3666,0.1271,0.1580
F00189,0.1490,0.3375,0.1580
F00142,0.0848,0.0176,0.1580
F00926,0.2072,0.0148,0.1580
F00935,0.2330,0.0135,0.1580
F01081,0.2366,0.0094,0.1580
F01037,0.2741,0.0084,0.1580
F01112,0.3967,0.0084,0.1580
F01169,0.4602,0.0086,0.1580
F01201,0.5260,0.0112,0.1580
F01197,0.6064,0.0114,0.1580
F01194,0.6011,0.0125,0.1580
F01378,0.4308,0.0138,0.1580
F01373,0.2321,0.0156,0.1580
F02224,0.1944,0.0236,0.1580
F02154,0.2683,0.0553,0.1580
F01989,0.2239,0.0028,0.1580
F01998,0.2634,0.0000,0.1580
F01992,0.2266,0.0001,0.1580
F01297,0.4766,0.0000,0.1580
007890,0.4104,0.0000,0.1580
081950,0.4490,0.0001,0.0246
083777,0.4641,0.0023,0.0246
F04398,0.4776,0.4168,0.0246
007931,0.4719,0.0146,0.0246
083331,0.6760,0.0103,0.0246
009465,0.7417,0.0086,0.0246
009467,0.5677,0.0083,0.0246
009469,0.5260,0.0081,0.0246
009445,0.5357,0.0093,0.0246
F04374,0.4379,0.0247,0.0246
061286,0.5117,0.3383,0.0246
F04370,0.4364,0.0000,0.0246
F01896,0.4512,0.3733,0.0246
F01899,0.5074,0.0000,0.0246
F01900,0.4417,0.4074,0.0246
061273,0.4009,0.2150,0.0246
F01916,0.2402,0.4858,0.0246
F01918,0.1975,0.4778,0.0246
061226,0.1242,0.1844,0.0246
061280,0.1668,0.4884,0.0246
061222,0.1502,0.0403,0.0246
061227,0.1308,0.1775,0.0246
061271,0.1945,0.1416,0.0246
F01917,0.2458,0.1462,0.0246
061272,0.3799,0.1006,0.0246
F01901,0.4616,0.4000,0.0246
F01898,0.5018,0.0000,0.0246
F01897,0.4574,0.3810,0.0246
F04371,0.4512,0.2541,0.0246
F04373,0.5355,0.1179,0.0246
050279,0.4528,0.0212,0.0246
009548,0.5445,0.0129,0.0246
009470,0.5391,0.0097,0.0246
009468,0.5770,0.0079,0.0246
009466,0.7512,0.0092,0.0246
F04400,0.5527,0.1554,0.0246
F04403,0.5868,0.2501,0.0246
F04384,0.3521,0.4311,0.0246
008865,0.1195,0.0000,0.0246
009577,0.1418,0.0000,0.0246
F04383,0.3244,0.1215,0.0246
F04402,0.5190,0.1184,0.0246
F00642,0.0375,0.0000,0.0246
F00646,0.0709,0.0045,0.0246
F00649,0.1413,0.0089,0.0246
F00464,0.1688,0.0134,0.0246
F00468,0.1886,0.0446,0.0246
044131,0.2044,0.0473,0.0246
F00476,0.2172,0.0441,0.0246
F00482,0.3401,0.0479,0.0246
F00478,0.4746,0.1808,0.0246
F00683,0.5583,0.0006,0.0246
F00498,0.5323,0.0038,0.0246
F00496,0.5432,0.0079,0.0246
F00494,0.4428,0.0121,0.0246
F00491,0.3759,0.0205,0.0246
F00667,0.1421,0.2052,0.0246
F00507,0.1813,0.2707,0.0246
F00509,0.2246,0.2750,0.0246
F00577,0.2909,0.3710,0.0246
F00583,0.3252,0.5372,0.0246
F00619,0.2520,0.0000,0.0246
F00611,0.3621,0.3667,0.0246
F00581,0.3148,0.1911,0.0246
F00576,0.2406,0.1835,0.0246
F00508,0.2181,0.1665,0.0246
F00506,0.1672,0.1549,0.0246
F00666,0.1418,0.1512,0.0246
F00485,0.1344,0.1475,0.0246
F00489,0.2167,0.1263,0.0246
F00490,0.3754,0.0553,0.0246
F00493,0.4185,0.0515,0.0246
F00495,0.5314,0.0477,0.0246
F00497,0.5235,0.0440,0.0246
F00682,0.5568,0.0403,0.0246
F00477,0.2973,0.0369,0.0246
F00475,0.2151,0.0338,0.0246
009584,0.1956,0.0463,0.0246
F00465,0.1742,0.0186,0.0246
F00650,0.1587,0.0049,0.0246
F00645,0.0766,0.0008,0.0246
F00641,0.0375,0.0004,0.0246
F00800,0.3968,0.0843,0.0246
F00854,0.4616,0.1073,0.0246
F00832,0.4958,0.0154,0.0246
F00892,0.4579,0.0150,0.0246
F00890,0.3755,0.0087,0.0246
F00863,0.2111,0.0062,0.0246
F00691,0.1720,0.0051,0.0246
F02547,0.1779,0.0049,0.0246
F02654,0.3273,0.0056,0.0246
F02533,0.3397,0.0074,0.0246
F02538,0.2932,0.0094,0.0246
F02561,0.2037,0.0115,0.0246
F02664,0.1574,0.0136,0.0246
F02665,0.2318,0.0332,0.0246
F02575,0.3732,0.0140,0.0246
009420,0.3775,0.0199,0.0246
F02604,0.2452,0.0128,0.0246
F02577,0.3161,0.0107,0.0246
F02666,0.1966,0.0086,0.0246
F02663,0.1676,0.0066,0.0246
F02562,0.2540,0.0047,0.0246
F02539,0.3151,0.0031,0.0246
F02532,0.3504,0.0021,0.0246
F02653,0.3315,0.0028,0.0246
F02548,0.1770,0.0051,0.0246
F00692,0.1706,0.0076,0.0246
F00864,0.2024,0.0102,0.0246
F00889,0.3537,0.0128,0.0246
F00828,0.4200,0.0380,0.0246
F00878,0.4419,0.0326,0.0246
F00816,0.3862,0.1443,0.0246
F00861,0.3793,0.3416,0.0246
F00814,0.3617,0.3536,0.0246
F00094,0.2776,0.0000,1.0000
F02481,0.3528,0.0000,1.0000
F00063,0.2418,0.0000,1.0000
F00959,0.0597,0.0000,1.0000
F00961,0.2091,0.0000,1.0000
F01019,0.4935,0.0000,1.0000
F01292,0.4901,0.0000,1.0000
F01336,0.1909,0.0000,1.0000
F01325,0.1832,0.0000,1.0000
F01743,0.0885,0.0000,1.0000
F01749,0.2379,0.0000,1.0000
F01742,0.0903,0.0000,1.0000
F01324,0.1663,0.0000,1.0000
F01335,0.2695,0.0000,1.0000
F01291,0.4847,0.0000,1.0000
F01018,0.4782,0.0000,1.0000
F00960,0.1927,0.0000,1.0000
F00958,0.0878,0.0000,1.0000
F00062,0.2845,0.0000,1.0000
F02480,0.3705,0.0000,1.0000
F00093,0.2890,0.0000,1.0000
F04531,0.2023,0.0597,0.0246
F04530,0.1966,0.0493,0.0246
056161,0.3432,0.0011,0.0246
008405,0.2559,0.0175,0.0246
008407,0.1159,0.0396,0.0246
056162,0.0746,0.0174,0.0246
056165,0.0897,0.0143,0.0246
056168,0.1113,0.0112,0.0246
056173,0.1219,0.0080,0.0246
056175,0.1212,0.0049,0.0246
100837,0.1534,0.0018,0.0246
064377,0.1754,0.0001,0.0246
100838,0.1498,0.0015,0.0246
100836,0.1484,0.0056,0.0246
056188,0.1381,0.0097,0.0246
056187,0.1278,0.0138,0.0246
056169,0.1111,0.0178,0.0246
056166,0.0900,0.0219,0.0246
056163,0.0742,0.0260,0.0246
008406,0.1083,0.0530,0.0246
008404,0.2694,0.0205,0.0246
F03329,0.2001,0.0196,0.0246
F03331,0.2397,0.0171,0.0246
F03332,0.2636,0.0037,0.0246
F03330,0.2762,0.0045,0.0246
F02760,0.3333,0.0000,0.0246
009322,0.2622,0.0507,0.0246
F01855,0.2085,0.1964,0.0246
F01791,0.1616,0.1975,0.0246
F01776,0.1426,0.1114,0.0246
F01777,0.2184,0.0197,0.0246
F03274,0.2656,0.0954,0.0246
F03241,0.2996,0.0194,0.0246
F03344,0.2554,0.0098,0.0246
F03239,0.2099,0.0073,0.0246
F03237,0.2146,0.0049,0.0246
F03388,0.2147,0.0150,0.0246
F03311,0.2091,0.0099,0.0246
F03315,0.1381,0.0069,0.0246
F03318,0.0914,0.0047,0.0246
F03383,0.0868,0.0145,0.0246
F03384,0.1092,0.0085,0.0246
F03325,0.1123,0.0054,0.0246
F03387,0.1407,0.0030,0.0246
F03328,0.1901,0.0234,0.0246
F03327,0.1969,0.0056,0.0246
F03386,0.1524,0.0068,0.0246
F03326,0.1129,0.0089,0.0246
F03385,0.1079,0.0116,0.0246
F03382,0.0867,0.0143,0.0246
F03319,0.0905,0.0190,0.0246
F03314,0.1298,0.0014,0.0246
F03313,0.2081,0.0045,0.0246
F03389,0.2279,0.0130,0.0246
F03238,0.2143,0.0133,0.0246
F03240,0.2150,0.0167,0.0246
F03345,0.2640,0.0203,0.0246
F03242,0.2696,0.0240,0.0246
F03275,0.2835,0.3189,0.0246
F01778,0.2268,0.0433,0.0246
F01775,0.1448,0.3724,0.0246
F01790,0.1495,0.2345,0.0246
F01854,0.2230,0.2168,0.0246
F01772,0.2721,0.2364,0.0246
F01755,0.2781,0.0000,0.0246
F02291,0.2742,0.0379,0.0246
F02425,0.2538,0.0365,0.0246
F02399,0.1947,0.0923,0.0246
F02429,0.1777,0.0157,0.0246
F02431,0.1699,0.0097,0.0246
F02280,0.1504,0.0098,0.0246
F02282,0.1421,0.0035,0.0246
F02283,0.1475,0.0062,0.0246
F02285,0.1875,0.0093,0.0246
F02288,0.2526,0.0127,0.0246
F02289,0.2844,0.0161,0.0246
F02295,0.3268,0.0883,0.0246
F02307,0.3535,0.0656,0.1580
F02421,0.3903,0.0736,0.1580
F02407,0.3537,0.0659,0.1580
F00022,0.2791,0.4129,0.0246
009730,0.3817,0.0673,0.0246
078004,0.3896,0.0000,0.0246
F02335,0.3800,0.0516,0.0246
007900,0.3188,0.0234,0.0246
F00023,0.2798,0.2349,0.0246
F02409,0.3482,0.0134,0.0246
F02420,0.3786,0.0199,0.0246
F02306,0.3530,0.0439,0.1580
F02292,0.3240,0.0665,0.0246
F04405,0.4973,0.0000,0.1580
F04397,0.4700,0.0034,0.1580
F04382,0.3483,0.0067,0.1580
F01905,0.2753,0.0101,0.1580
F01904,0.2783,0.0084,0.1580
F04381,0.3662,0.0056,0.1580
F04396,0.4583,0.0028,0.1580
F04404,0.4993,0.0000,0.1580
F02038,0.2094,0.0033,0.1580
007967,0.1532,0.0003,0.1580
F02039,0.2092,0.0009,0.1580
F02196,0.2853,0.0695,0.0246
009427,0.3262,0.2573,0.0246
F02049,0.2127,0.2549,0.0246
F02053,0.1801,0.3639,0.0246
F01926,0.1847,0.5558,0.0246
F01922,0.1637,0.0147,0.0246
F01920,0.1634,0.0108,0.0246
